"time","speaker","line"
"11min05sec","Trump","That’s right."
"11min05sec","Wallace","You have spent the last week-"
"11min07sec","Trump","Because they want to give good healthcare."
"11min08sec","Wallace","If I may ask my question, sir."
"11min11sec","Biden","Good healthcare."
"11min11sec","Wallace","Over the last four years, you have promised to repeal and replace Obamacare, but you have never in these four years come up with a plan, a comprehensive plan, to replace Obamacare."
"11min25sec","Trump","Yes, I have. Of course, I have. The individual mandate."
"11min26sec","Wallace","[crosstalk 00:11:26] when I finish I’m going to give an opportunity-"
"11min28sec","Trump","Excuse me. I got rid of the individual mandate, which was a big chunk of Obamacare."
"11min31sec","Wallace","That’s not a comprehensive place."
"11min32sec","Trump","That is absolutely a big thing. That was the worst part of Obamacare."
"11min35sec","Wallace","I didn’t ask, sir."
"11min36sec","Trump","Chris, that was the worst part of Obamacare."
"11min38sec","Wallace","You’re debating him not me. Let me ask my question."
"11min38sec","Trump","Well, I’ll ask Joe. The individual mandate was the most unpopular aspect of Obamacare."
"11min44sec","Wallace","President Donald J. Trump: (11:44)"
"11min44sec","Trump","I got rid of it. And we will protect people."
"11min46sec","Wallace","Mr. President, I’m the moderator of this debate and I would like you to let me ask my question and then you can answer."
"11min52sec","Trump","Go ahead."
"11min53sec","Wallace","You, in the course of these four years, have never come up with a comprehensive plan to replace Obamacare, and just this last Thursday you signed a largely symbolic Executive Order to protect people with pre-existing conditions five days before this debate. So my question, sir, is what is the Trump healthcare plan?"
"12min16sec","Trump","Well, first of all, I guess I’m debating you, not him, but that’s okay. I’m not surprised. Let me just tell you something. There’s nothing symbolic. I’m cutting drug prices. I’m going with Favored Nations, which no President has the courage to do because you’re going against big pharma. Drug prices will be coming down 80 or 90%. You could have done it during your 47 year period in government, but you didn’t do it. Nobody’s done it. So we’re cutting healthcare."
"12min40sec","Wallace","What about pre-existing conditions?"
"12min40sec","Trump","All of the things that we’ve done."
"12min41sec","Biden","He has not done healthcare."
"12min42sec","Trump","I’ll give you an example. Insulin, it was destroying families, destroying people, the cost. I’m getting it for so cheap it’s like water, you want to know the truth. So cheap. Take a look at all of the drugs that what we’re doing. Prescription drug prices, we’re going to allow our Governors now to go to other countries to buy drugs because when they paid just a tiny fraction of what we do."
"13min03sec","Wallace","Okay, like I say, this is open discussion."
"13min04sec","Trump","This is big stuff."
"13min06sec","Wallace","Sir, you’ll be happy. I’m about to pick up on one of your points to ask the Vice President, which is, he points out that you would like to add a public option to Obamacare."
"13min17sec","Biden","Yes."
"13min17sec","Wallace","And the argument that he makes and other Republicans make is that that is going to end private insurance."
"13min23sec","Biden","It is not."
"13min25sec","Wallace","If I start asking the question."
"13min26sec","Trump","That’s not what your party says, by the way."
"13min29sec","Wallace","And it will end private insurance and create a government takeover of health."
"13min32sec","Biden","It does not. It’s only for those people who are so poor they qualify for Medicaid they can get that free in most States, except Governors who want to deny people who are poor Medicaid. Anyone who qualifies for Medicare, excuse me, Medicaid would automatically be enrolled in the public option. The vast majority of the American people would still not be in that option. Number one. Number two."
"13min57sec","Trump","Joe, you agreed with Bernie Sanders, who’s far left, on the manifesto, we call it. And that gives you socialized medicine."
"14min04sec","Biden","Look, hey."
"14min05sec","Trump","Are you saying you didn’t agree?"
"14min06sec","Biden","I’m not going to listen to him. The fact of the matter is I beat Bernie Sanders."
"14min10sec","Trump","Not by much."
"14min10sec","Biden","I beat him by a whole hell of a lot."
"14min12sec","Trump","Vice President Joe Biden: (14:12)"
"14min12sec","Biden","I’m here standing facing you, old buddy."
"14min14sec","Trump","If Pocahontas would have left two days early you would have lost every primary."
"14min17sec","Biden","All he knows how to do-"
"14min18sec","Trump","On Super Tuesday, you got very lucky."
"14min21sec","Biden","Look he’s the deal. I got very lucky. I’m going to get very lucky tonight as well."
"14min23sec","Trump","With what?"
"14min23sec","Biden","And tonight I’m going to make sure."
"14min25sec","Trump","Vice President Joe Biden: (14:25)"
"14min25sec","Biden","Because here’s the deal, here’s the deal. The fact is that everything he’s saying so far is simply a lie. I’m not here to call out his lies. Everybody knows he’s a liar."
"14min34sec","Trump","But you agree. Joe, you’re the liar. You graduated last in your class not first in your class."
"14min41sec","Biden","God, I want to make sure-"
"14min43sec","Wallace","Mr. President, can you let him finish, sir?"
"14min44sec","Biden","No, he doesn’t know how to do that."
"14min46sec","Trump","You’d be surprised. You’d be surprised. Go ahead, Joe."
"14min47sec","Biden","The wrong guy, the wrong night, at the wrong time."
"14min51sec","Trump","Listen, you agreed with Bernie Sanders and the manifesto."
"14min55sec","Biden","There is no manifesto, number one."
"14min57sec","Wallace","Please let him speak, Mr. President."
"14min58sec","Biden","Number two."
"14min58sec","Trump","He just lost the left."
"14min59sec","Biden","President Donald J. Trump: (15:01)"
"15min01sec","Trump","You just lost the left. You agreed with Bernie Sanders on a plan that you absolutely agreed to and under that plan [crosstalk 00:15:10], they call it socialized medicine."
"15min13sec","Wallace","Vice President Joe Biden: (15:14)"
"15min14sec","Biden","I’ll tell you what, he is not for any help for people needing healthcare."
"15min20sec","Trump","Who is, Bernie?"
"15min21sec","Biden","Because he, in fact, already has costs 10 million people their healthcare that they had from their employers because of his recession. Number one. Number two, there are 20 million people getting healthcare through Obamacare now that he wants to take it away. He won’t ever look you in the eye and say that’s what he wants to do. Take it away."
"15min41sec","Trump","No, I want to give them better healthcare at a much lower price, because Obamacare is no good."
"15min45sec","Biden","He doesn’t know how. He doesn’t know how to do that."
"15min46sec","Trump","I’ve already fixed it."
"15min47sec","Biden","He has never offered a plan."
"15min49sec","Trump","We’ve already fixed it to an extent. Obamacare, as you might know but probably don’t, Obamacare is no good."
"15min54sec","Wallace","Gentlemen, you realize if you’re both speaking at the same time. Let the President. Go ahead, sir."
"15min59sec","Trump","Obamacare is no good. We made it better and I had a choice to make very early on. We took away the individual mandate. We guaranteed pre-existing conditions, but took away the individual mandate. Listen, this is the way it is. And that destroyed … They shouldn’t even call it Obamacare, then I had a choice to make, do I let my people run it really well or badly? If I run it badly, they’ll probably blame him, but they’ll blame me. But more importantly, I want to help people. Okay. I said, “You’ve got to run it so well.” And I just had a meeting with them. They said the problem is, no matter how well you run Obamacare, it’s a disaster. It’s too expensive. Premiums are too high, that it doesn’t work. So we do want to get rid of it. Chris, we want to get rid of that and give something that’s cheaper and better."
"16min42sec","Wallace","I understand that, sir. But I have to give you roughly equal time."
"16min45sec","Trump","Chris Wallace: (16:45)"
"16min45sec","Wallace","Please let the Vice President talk, sir."
"16min47sec","Trump","Good."
"16min48sec","Biden","He has no plan for healthcare."
"16min50sec","Trump","Of course, we do."
"16min52sec","Wallace","Please."
"16min52sec","Biden","He sends out wishful thinking. He has Executive Orders that have no power. He hasn’t lowered drug costs for anybody. He’s been promising a healthcare plan since he got elected. He has none, like almost everything else he talks about. He does not have a plan. He doesn’t have a plan. And the fact is this man doesn’t know what he’s talking about. [crosstalk 00:17:14]."
"17min13sec","Wallace","All right, I have one final question for you."
"17min15sec","Biden","Sure."
"17min16sec","Wallace","Mr. Vice President, if Senate Republicans, we were talking originally about the Supreme Court here, if Senate Republicans go ahead and confirm Justice Barrett there has been talk about ending the filibuster or even packing the court, adding to the nine justices there. You call this a distraction by the President. But, in fact, it wasn’t brought up by the President. It was brought up by some of your Democratic colleagues in the Congress. So my question to you is, you have refused in the past to talk about it, are you willing to tell the American tonight whether or not you will support either ending the filibuster or packing the court?"
"17min55sec","Biden","Whatever position I take on that, that’ll become the issue. The issue is the American people should speak. You should go out and vote. You’re voting now. Vote and let your Senators know strongly how you feel."
"18min05sec","Trump","Are you going to pack the court?"
"18min07sec","Biden","Vote now."
"18min08sec","Trump","Vice President Joe Biden: (18:09)"
"18min09sec","Biden","Make sure you, in fact, let people know, your Senators."
"18min12sec","Trump","He doesn’t want to answer the question."
"18min17sec","Biden","I’m not going to answer the question."
"18min18sec","Trump","Why wouldn’t you answer that question? You want to put a lot of new Supreme Court Justices. Radical left."
"18min18sec","Biden","Will you shut up, man?"
"18min20sec","Trump","Listen, who is on your list, Joe? Who’s on your list?"
"18min23sec","Wallace","Gentlemen, I think we’ve ended this-"
"18min25sec","Biden","This is so un-Presidential."
"18min25sec","Trump","He’s going to pack the court. He is not going to give a list."
"18min27sec","Wallace","We have ended the segment. We’re going to move on to the second segment."
"18min30sec","Biden","That was really a productive segment, wasn’t it? Keep yapping, man."
"18min35sec","Trump","The people understand, Joe."
"18min37sec","Biden","They sure do."
"18min37sec","Trump","47 years, you’ve done nothing. They’re understand."
"18min40sec","Wallace","All right, the second subject is COVID-19, which is an awfully serious subject. So let’s try to be serious about it. We have had more than seven million cases of coronavirus in the United States and more than 200,000 people have died. Even after we produce a vaccine, experts say that it could be months or even years before we come back to anything approaching normal. My question for both of you is, based on what you have said and done so far, and what you have said you would do starting in 2021, why should the American people trust you more than your opponent to deal with this public health crisis going forward? In this case, the question goes to you first, sir. Two minutes, uninterrupted."
"19min33sec","Biden","Good luck. 200,000 dead. As you said, over seven million infected in the United States. We, in fact, have 4% of the world’s population, 20% of the deaths. 40,000 people a day are contracting COVID. In addition to that, about between 750 and 1000 people a day are dying. When he was presented with that number, he said, “It is what it is.” Well, it is what it is because you are who you are. That’s why it is. The President has no plan. He hasn’t laid out anything. He knew all the way back in February how serious this crisis was. He knew it was a deadly disease. What did he do? He’s on tape as acknowledging he knew it. He said he didn’t tell us or give people a warning of it because he didn’t want to panic the American people. You don’t panic. He panicked. In addition to that, what did he do?"
"20min30sec","Biden","He went in and we were insisting that the people we had in the ground in China should be able to go to Wuhan and determine for themselves how dangerous this was. He did not even ask Xi to do that."
"20min43sec","Trump","Wrong."
"20min43sec","Biden","He told us what a great job Xi was doing. He said we owe him debt of gratitude for being so transparent with us. And what did he do then? He then did nothing. He waited and waited and waited. He still doesn’t have a plan."
"20min57sec","Trump","Chris Wallace: (20:57)"
"20min57sec","Wallace","Sir, it’s his two minutes."
"20min57sec","Biden","I laid out back in March, exactly what we should be doing. And I laid out again in July, what we should be doing. We should be providing all the protective gear possible. We should be providing the money the House has passed in order to be able to go out and get people the help they need to keep their businesses open. Open schools cost a lot of money. You should get out of your bunker and get out of the sand trap in your golf course and go in the Oval Office and bring together the Democrats and Republicans and fund what needs to be done now to save lives."
"21min30sec","Trump","So, if we would have listened to you."
"21min31sec","Wallace","Wait, wait. You have two minutes, sir."
"21min31sec","Trump","If we would’ve listened to you, the country would have been left wide open, millions of people would have died, not 200,000. And one person is too much. It’s China’s fault. It should have never happened. They stopped it from going in, but it was China’s fault. And, by the way, when you talk about numbers, you don’t know how many people died in China. You don’t know how many people died in Russia. You don’t know how many people died in India. They don’t exactly give you a straight count, just so you understand. But if you look at what we’ve done, I closed it and you said, “He’s xenophobic. He’s a racist and he’s xenophobic,” because you didn’t think I should have closed our country. Wait a minute."
"22min06sec","Wallace","President Donald J. Trump: (22:07)"
"22min07sec","Trump","You didn’t think we should have closed our country because you thought it was terrible. You wouldn’t have closed it for another two months. By my doing it early, in fact, Dr. Fauci said, “President Trump saved thousands of lives.” Many of your Democrat Governors said, “President Trump did a phenomenal job.” We worked with the Governor. Oh really, go take a look. The Governors said I did a phenomenal job. Most of them said that. In fact, people that would not be necessarily on my side said that, “President Trump did a phenomenal job.” We did. We got the gowns. We got the masks. We made the ventilators. You wouldn’t have made ventilators. And now we’re weeks away from a vaccine. We’re doing therapeutics already. Fewer people are dying when they get sick. Far fewer people are dying. We’ve done a great job."
"22min54sec","Trump","The only thing I haven’t done a good job, and that’s because of the fake news, no matter what you say to them, they give you a bad press on it. It’s just fake news. They give you good press, they give me bad press because that’s the way it is, unfortunately. But let me just say something. I don’t care. I’ve gotten used to it. But I’ll tell you, Joe, you could never have done the job that we did. You don’t have it in your blood. You could’ve never done that, Joe."
"23min15sec","Biden","I know how to do the job. I know how to get the job done."
"23min18sec","Trump","Well, you didn’t do very well in Swine Flu. H1-N1, you were a disaster. Your own Chief of Staff said you were a disaster."
"23min25sec","Biden","14,000 people died, not 200,000."
"23min27sec","Trump","A far less lethal disease, by the way."
"23min32sec","Wallace","Sir, you made a point. Let him answer it."
"23min33sec","Biden","And there was no one … We didn’t shut down the economy. This is his economy he shut down. The reason it’s shut down is because, look, you folks at home. How many of you got up this morning and had an empty chair at the kitchen table because someone died of COVID? How many of you are in a situation where you lost your mom or dad and you couldn’t even speak to them, you had a nurse holding a phone up so you could in fact say goodbye?"
"23min57sec","Trump","We would have lost far more people, far more people. You would have been months late. You’re months behind me, Joe."
"24min03sec","Biden","His own CDC Director says we could lose as many as another 200,000 people between now and the end of the year. And he said, if we just wear a mask, we can save half those numbers. Just a mask. And by the way, in terms of the whole notion of a vaccine, we’re for a vaccine, but I don’t trust him at all. Nor do you. I know you don’t. What we trust is a scientist."
"24min25sec","Trump","You don’t trust Johnson & Johnson, Pfizer?"
"00min15sec","Trump","Well, I’ve spoken to the companies and we can have it a lot sooner. It’s a very political thing because people like this would rather make it political than save lives."
"00min22sec","Biden","God."
"00min23sec","Trump","It is a very political thing. I’ve spoken to Pfizer, I’ve spoken to all of the people that you have to speak to, Moderna, Johnson & Johnson, and others. They can go faster than that by a lot. It’s become very political because the left… Or I don’t know if I call them left, I don’t know what I call them."
"00min38sec","Wallace","So you’re suggesting that the head of your Operation Warp Speed, Dr. Slaoui-"
"00min42sec","Trump","I disagree with him. No, I disagree with both of them. And he didn’t say that. He said it could be there, but it could also be much sooner. I had him in my office two days ago."
"00min49sec","Wallace","He talked about the summer, sir, before it’s generally available, just like Dr. Redfield."
"00min53sec","Trump","Because he said it’s a possibility that we’ll have the answer before November 1st. It could also be after that."
"00min59sec","Wallace","I’m talking about when it’s generally available, not-"
"01min00sec","Trump","Well, we’re going to deliver it right away. We have the military all set up. Logistically, they’re all set up. We have our military that delivers soldiers and they can do 200,000 a day. They’re going to be delivering-"
"01min11sec","Biden","This is the same man who told you-"
"01min13sec","Trump","It’s all set up."
"01min14sec","Biden","… by Easter, this would be gone away. By the warm weather, it’d be gone. Miraculous, like a miracle. And by the way, maybe you could inject some bleach in your arm, and that would take care of it. This is the same man."
"01min24sec","Trump","That was said sarcastically, and you know that. That was said sarcastically."
"01min28sec","Biden","So here’s the deal. This man is talking about a vaccine. Every serious company is talking about maybe having a vaccine done by the end of the year, but the distribution of that vaccine will not occur until sometime beginning of the middle of next year to get it out, if we get the vaccine. And pray God we will. Pray God we will."
"01min49sec","Wallace","Mr. Vice President, I want to pick up-"
"01min50sec","Trump","You’ll have the vaccine sooner than that."
"01min51sec","Wallace","I want to pick up on this question though. You say the public can trust the scientists, but they can’t trust President Trump. In fact, you said that again tonight. Your running mate, Senator Harris, goes further, saying that public health experts quote, “Will be muzzled, will be suppressed.” Given the fact that polls already show that people are concerned about the vaccine and are reluctant to take it, are you and your running mate, Senator Harris, contributing to that fear?"
"02min18sec","Biden","No more than the question you just asked him. You pointed out he puts pressure and disagrees with his own scientists."
"02min25sec","Wallace","But you’re saying you can’t-"
"02min26sec","Biden","Everybody knows-"
"02min26sec","Wallace","Or Senator Harris is saying you can’t trust the scientist."
"02min28sec","Biden","Well, no, no. You can trust the scientist. She didn’t say that. You can trust the-"
"02min32sec","Wallace","She said that public health experts quote, “Will be muzzled, will be suppressed.”"
"02min36sec","Biden","Yes. Well, that’s what he’s going to try to do, but there’s thousands of scientists out there, like here at this great hospital that don’t work for him. Their job doesn’t depend on him. They’re the people… And by the way-"
"02min53sec","Biden","By the way-"
"02min53sec","Trump","… they will have the vaccine very soon."
"02min55sec","Wallace","Let him finish."
"02min55sec","Biden","Do you believe for a moment what he’s telling you in light of all the lies he’s told you about the whole issue relating to COVID? He still hasn’t even acknowledged that he knew this was happening, knew how dangerous it was going to be back in February, and he didn’t even tell you. He’s on record as saying it. He panicked or he just looked at the stock market. One of the two. Because guess what? A lot of people died and a lot more are going to die unless he gets a lot smarter, a lot quicker-"
"03min27sec","Wallace","Mr. President?"
"03min28sec","Trump","Did you use the word smart? So you said you went to Delaware State, but you forgot the name of your college. You didn’t go to Delaware State. You graduated either the lowest or almost the lowest in your class. Don’t ever use the word smart with me. Don’t ever use that word."
"03min44sec","Biden","Oh, give me a break."
"03min44sec","Trump","Because you know what? There’s nothing smart about you, Joe. 47 years you’ve done nothing."
"03min49sec","Biden","Well, let’s have this debate-"
"03min51sec","Trump","Let me just tell you something, Joe. If you would have had the charge of what I was put through, I had to close the greatest economy of the history of our country. And by the way, now it’s being built again and it’s going up fast."
"04min02sec","Wallace","We’ll get to the economy in the next segment, sir."
"04min04sec","Trump","Okay. It’s going up fast. I look forward to talking about it."
"04min06sec","Wallace","Okay. When it comes to how the virus has been handled so far, the two of you have taken very different approaches, and this is going to affect how the virus is handled going forward by whichever of you ends up becoming the next president. I want to quickly go through several of those. Reopenings. Vice President Biden, you have been much more reluctant than President Trump about reopening the economy and schools. Why, sir?"
"04min31sec","Biden","Because he doesn’t have a plan. If I were running it, I’d know what the plan is. You’ve got to provide these businesses the ability to have the money to be able to reopen with the PPE, as well as with the sanitation they need. You have to provide them classic-"
"04min45sec","Trump","Tell that to Nancy Pelosi."
"04min47sec","Biden","Will he just shush for a minute?"
"04min49sec","Trump","Tell that to Nancy Pelosi, and Schumer [crosstalk 00:04:52] Chuck."
"04min52sec","Biden","Nancy Pelosi and Schumer, they have a plan. He won’t even meet with them. The Republicans won’t meet in the Senate. He sits in his golf course. Well, I mean, literally, think about it. Think about it."
"05min04sec","Trump","You probably play more than I do, Joe."
"05min06sec","Wallace","What about this question of reopenings and the fact-"
"05min08sec","Trump","Well, he wants to shut down this country and I want to keep it open, and we did a great thing by shutting it down-"
"05min15sec","Biden","You just admitted you’d shut it down."
"05min15sec","Trump","Wait a minute, Joe. Let me shut you down for a second, Joe, just for one second. He wants to shut down the country. We just went through it. We had to, because we didn’t know anything about the disease. Now we’ve found that elderly people with heart problems and diabetes and different problems are very, very vulnerable. We learned a lot. Young children aren’t, even younger people aren’t. We’ve learned a lot, but he wants to shut it down. More people will be hurt by continuing. If you look at Pennsylvania, if you look at certain states that have been shut down, they have Democrat governors, all, one of the reasons they shut down is because they want to keep it shut down until after the election on November 3rd."
"05min54sec","Wallace","All right. I want to move onto another-"
"05min55sec","Trump","Because it’s a political thing."
"05min55sec","Wallace","I want to move onto another subject."
"05min55sec","Biden","I got to respond to that."
"05min57sec","Trump","But those states-"
"05min58sec","Wallace","Gentlemen, I want to move onto another subject."
"06min00sec","Trump","Those states are not doing well that are shut down right now."
"06min02sec","Biden","President Donald J. Trump: (06:04)"
"06min04sec","Trump","He wants to shut down the whole country."
"06min04sec","Wallace","President Trump, you have begun to increasingly question the effectiveness of masks as a disease preventer. And in fact, recently you have cited the issue of waiters touching their masks and touching plates. Are you questioning the efficacy of masks?"
"06min20sec","Trump","No, I think masks are okay. You have to understand, if you look… I mean, I have a mask right here. I put a mask on when I think I need it. Tonight, as an example, everybody’s had a test and you’ve had social distancing and all of the things that you have to, but I wear masks-"
"06min33sec","Biden","Just like your rally."
"06min33sec","Trump","… when needed. When needed, I wear masks."
"06min35sec","Wallace","Okay. Let me ask-"
"06min36sec","Trump","I don’t wear a mask like him. Every time you see him, he’s got a mask. He could be speaking 200 feet away from him and he shows up with the biggest mask I’ve ever seen. I will say this-"
"06min45sec","Wallace","Vice President Biden, go ahead, sir."
"06min48sec","Biden","Look, the way to open businesses is give them the wherewithal to be able open. We provided money, the-"
"06min55sec","Wallace","But I was asking you, sir, about masks."
"06min56sec","Biden","Well, masks make a big difference. His own head of the CDC said if we just wore masks between now, if everybody wore a mask and social distanced between now and January, we’d probably save up to 100,000 lives. It matters. It matters."
"07min10sec","Trump","And they’ve also said the opposite. They’ve also said-"
"07min12sec","Biden","No serious person has said the opposite. No serious person."
"07min14sec","Wallace","Okay. I want to ask you-"
"07min17sec","Trump","Dr. Fauci. Dr. Fauci said the opposite."
"07min18sec","Biden","He did not say the opposite."
"07min19sec","Wallace","I want to ask you, we’ve got a little than a minute left in this segment."
"07min22sec","Trump","He said very strongly, “Masks are not good.” Then he changed his mind. He said, “Masks are good.”"
"07min25sec","Wallace","I want to ask-"
"07min25sec","Trump","I’m okay with masks. I’m not fighting masks."
"07min27sec","Wallace","I want to ask you both about one last subject because your different approaches has even affected the way that you have campaigned. President Trump, you’re holding large rallies with crowds packed together, thousands of people."
"07min38sec","Trump","Outside."
"07min39sec","Wallace","Outside. Yes, sir. Agreed. Vice President Biden, you are holding much smaller events with-"
"07min46sec","Trump","Because nobody will show up."
"07min47sec","Wallace","… people with masks."
"07min47sec","Trump","Well, it’s true. Nobody shows up to his rallies."
"07min50sec","Wallace","All right. In any case, why you holding the big rallies? Why you not? You go first, sir."
"07min56sec","Trump","Because people want to hear what I have to say. I mean-"
